id;err_code;ten_loi;ngay_tao;ngay_cap_nhat;username;chi_chu;trang_thai
1;primary Checking;Administrator;2023-12-14T21:10:58;2023-12-14T17:31:05;transmit bypass parsing;deposit Street;compressing Regional Developer
2;Fish;Ghana invoice;2023-12-14T20:39:39;2023-12-15T04:08:48;customer Bridge;Diverse Future;Lock task-force Frozen
3;pink Baby Sheqel;Turnpike;2023-12-14T16:25:04;2023-12-15T01:27:06;Corporate Cheese;azure methodologies RSS;Solutions back-end Kids
4;Home input;Grocery Avon;2023-12-15T05:59:48;2023-12-15T07:35:33;Lempira sensor;turn-key invoice;firmware
5;invoice Card;Forges;2023-12-14T14:25:27;2023-12-14T11:28:56;back-end Pines;seamless Research;Mount global
6;ubiquitous Checking;wireless;2023-12-15T10:05:22;2023-12-15T09:07:05;Bacon Account Leu;Cotton Baht;Unbranded
7;Designer Investor;Technician;2023-12-14T13:29:22;2023-12-15T06:39:44;Automotive cross-platform Borders;synthesize;Republic Global
8;Handcrafted Massachusetts;Research integrate cross-platform;2023-12-15T02:34:12;2023-12-15T02:39:36;protocol incremental;Station Industrial;Manager transmit bypassing
9;Market neural;Chair up Web;2023-12-14T21:57:16;2023-12-14T23:15:09;Avon;Virginia Burkina Salad;object-oriented
10;port;mission-critical Accountability;2023-12-15T06:22:27;2023-12-14T12:33:12;architectures Usability repurpose;impactful Games;Plastic
