id;name;sap_code;rd_code;don_vi;to_san_xuat;phan_loai
1;distributed Rustic;Road architecture;ivory parse lime;Account;Account quantifying;fuchsia Strategist
2;Shoes Plastic;circuit;Dynamic;neural well-modulated ivory;National Street;Buckinghamshire Tuna
3;e-commerce;programming;Unbranded;deposit;Terrace networks Supervisor;sensor wireless Ergonomic
4;encoding uniform;Tuna;Accounts;web-readiness;Investment product withdrawal;channels
5;Handmade;Strategist withdrawal;sticky interface;Squares Chips;array;Licensed
6;California Way;Forward Hills Handcrafted;Practical Organized;Verde empower one-to-one;convergence SCSI Exclusive;Orchestrator
7;firewall Intelligent;Market invoice;Rial;Florida Shoes Account;Vermont CFA cross-platform;Saint Legacy Applications
8;Chair Knolls Union;Computer override;synthesizing Assistant Parkways;morph SAS;Fresh;Marketing
9;Massachusetts non-volatile;Manager Virginia Branding;Account Mississippi;Identity Gorgeous;AI;JSON
10;invoice;panel;Senegal Islands standardization;Practical Synchronised;magenta;definition Account
