id;name;time_create;time_update;username;trang_thai
1;Team-oriented redundant;Facilitator Garden;2023-12-14T20:42:48;Spurs;Chief Gorgeous synthesizing
2;back-end;Officer South Synergized;2023-12-14T14:48:25;infomediaries override Web;Concrete
3;Corners Future;Washington compressing hacking;2023-12-15T05:16:32;purple distributed deliver;neutral Metal Dirham
4;SSL District synthesizing;Administrator coherent Small;2023-12-15T08:48:35;Games;Agent Wallis
5;Shoes intuitive;Burundi SSL;2023-12-14T17:28:38;Re-engineered Identity;primary
6;SSL;Shirt dynamic;2023-12-14T22:47:54;robust;Rustic synthesize reboot
7;Small;Islands panel;2023-12-14T13:09:02;Yen Virginia Account;access deposit
8;schemas Frozen;structure Progressive Iraqi;2023-12-15T03:23:16;Kids indigo Fields;static Mayotte Market
9;Table Mountains;withdrawal withdrawal;2023-12-15T08:05:08;Niue;navigating Pants Borders
10;radical Granite;Radial USB Branding;2023-12-15T03:28:27;e-enable;Virginia array
