id;ngay_tiep_nhan;trang_thai;nhan_vien_giao_hang;ngaykhkb;nguoi_tao_don;ghi_chu;ngay_tra_bien_ban
1;XSS Tasty;Generic hub;International matrix;2023-12-15T06:17:45;Cross-group Berkshire Account;infrastructure Markets withdrawal;2023-12-15T07:09:02
2;Implementation flexibility;incremental;Expressway;2023-12-15T08:47:34;input;bypass Incredible bleeding-edge;2023-12-14T10:51:16
3;Tasty leading;reboot;Kids Franc;2023-12-14T14:15:58;Berkshire hack;Card Lakes Squares;2023-12-15T08:25:12
4;technologies Real Loan;Directives Berkshire override;Electronics Soap;2023-12-14T17:55:40;open-source auxiliary;Intelligent Soap;2023-12-14T17:09:54
5;synthesizing revolutionize Jordan;Distributed program motivating;Infrastructure synergies Ergonomic;2023-12-14T18:21:15;withdrawal;Metal Lead;2023-12-14T20:27:23
6;function;Clothing;Forward;2023-12-14T12:41:03;Generic Borders Metal;Generic;2023-12-15T02:00:35
7;Product visualize;Sharable Paradigm Wooden;Steel;2023-12-15T05:01:29;holistic Factors;transmitting Idaho local;2023-12-15T01:25:08
8;architectures;CSS;Quality-focused technologies e-commerce;2023-12-15T09:48:53;Fresh program;enterprise;2023-12-15T00:29:11
9;Soap Configuration;Missouri Carolina;Borders Trafficway synergy;2023-12-14T13:58:16;Bacon maroon protocol;brand salmon;2023-12-15T07:58:36
10;Checking;redundant;Borders generating;2023-12-14T21:02:43;deposit;Clothing;2023-12-15T01:36:19
